,movie_names,ratings,voting_counts,duration_minutes,genre
487,Yasmeen's Element,7.6,21,76,adventure
488,Harmonie,6.0793103448275865,0,74,adventure
489,The Lost Coast,6.0793103448275865,0,90,adventure
490,The Lion Dog,6.0793103448275865,0,122,adventure
491,Dandelion,8.9,9,95,adventure
492,Hyacinthe,6.0793103448275865,0,90,adventure
493,Línguas de Fogo,6.0793103448275865,0,69,adventure
494,Gostya iz kosmosa,8.7,7,70,adventure
495,Mai Martaba,4.8,10,86,adventure
496,A Babá - Operação Game Over,4.9,11,0,adventure
497,Robo Puffin,6.0793103448275865,0,90,adventure
498,YA - medved,5.0,61,97,adventure
499,Luccas e Gi em: Dinossauros,3.5,28,91,adventure
500,Phantom Lights: UAPs of the Forest,6.0793103448275865,0,81,adventure
501,Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,65,adventure
502,Isola degli sguardi,6.0793103448275865,0,90,adventure
503,Chyortov kamen,4.4,21,105,adventure
504,Wheelies Inc,6.0793103448275865,0,90,adventure
505,Lung ta - Cavalli al vento,6.0793103448275865,0,90,adventure
506,Analogistan,6.0793103448275865,0,85,adventure
507,L'Elisir di Leonardo da Vinci e la Banda del Buffardello,6.0793103448275865,0,90,adventure
508,Moving Targets,6.0793103448275865,0,90,adventure
509,The Long Quiet,6.0793103448275865,0,94,adventure
510,Madeline & Silverfrost,6.0793103448275865,0,90,adventure
511,Jake Danger and the Sword of the Explorer,6.0793103448275865,0,90,adventure
512,NJPW SMP: The Movie,6.0793103448275865,0,50,adventure
513,Tobia e i colori del mondo,3.7,7,0,adventure
514,Les Nouveaux Candides,6.0793103448275865,0,90,adventure
515,"Salem, SOS-ed!",6.0793103448275865,0,91,adventure
516,No More Trouble - Cosa rimane di una tempesta,8.6,20,97,adventure
517,Oda: Vlucht door de Eeuwen,6.4,7,0,adventure
518,Bear Kid: Super Hero,6.0793103448275865,0,80,adventure
519,The 9th Raider,6.0793103448275865,0,105,adventure
520,Banana Boat,5.5,21,78,adventure
521,Eroi in crestere: Aventura celor 7 ani de acasa,6.0793103448275865,0,90,adventure
522,Okhota na russkogo geniya,5.1,12,71,adventure
